date,fedfunds,housesSold (Thousands),lumberPrice,unitsStarted (Thousands)
1/1/2000,5.45,873,189.1,1636
2/1/2000,5.73,856,189.2,1737
3/1/2000,5.85,900,188.5,1604
4/1/2000,6.02,841,186.3,1626
5/1/2000,6.27,857,180.3,1575
6/1/2000,6.53,793,179.6,1559
7/1/2000,6.54,887,176.1,1463
8/1/2000,6.5,848,173.2,1541
9/1/2000,6.52,912,171.4,1507
10/1/2000,6.51,933,171.6,1549
11/1/2000,6.51,880,170.4,1551
12/1/2000,6.4,983,169.6,1532
1/1/2001,5.98,936,166.6,1600
2/1/2001,5.49,963,168.2,1625
3/1/2001,5.31,939,169.5,1590
4/1/2001,4.8,909,170,1649
5/1/2001,4.21,885,181.1,1605
6/1/2001,3.97,882,183.2,1636
7/1/2001,3.77,880,175.4,1670
8/1/2001,3.65,866,174.5,1567
9/1/2001,3.07,853,173.1,1562
10/1/2001,2.49,871,167.3,1540
11/1/2001,2.09,924,166.1,1602
12/1/2001,1.82,979,164.1,1568
1/1/2002,1.73,880,168.3,1698
2/1/2002,1.74,948,171.3,1829
3/1/2002,1.73,923,174.8,1642
4/1/2002,1.75,936,174.7,1592
5/1/2002,1.75,978,173,1764
6/1/2002,1.75,957,169.8,1717
7/1/2002,1.73,956,170.2,1655
8/1/2002,1.74,1014,171.4,1633
9/1/2002,1.75,1044,169.9,1804
10/1/2002,1.75,1006,168.1,1648
11/1/2002,1.34,1024,167.6,1753
12/1/2002,1.24,1048,167.7,1788
1/1/2003,1.24,999,168.1,1853
2/1/2003,1.26,936,170.5,1629
3/1/2003,1.25,999,169,1726
4/1/2003,1.26,1012,169.3,1643
5/1/2003,1.26,1078,169.4,1751
6/1/2003,1.22,1193,171,1867
7/1/2003,1.01,1168,175.3,1897
8/1/2003,1.03,1206,176,1833
9/1/2003,1.01,1131,183.3,1939
10/1/2003,1.01,1144,179.4,1967
11/1/2003,1,1093,180.2,2083
12/1/2003,0.98,1129,180.8,2057
1/1/2004,1,1165,183.7,1911
2/1/2004,1.01,1159,190.7,1846
3/1/2004,1,1276,199.7,1998
4/1/2004,1,1186,206.6,2003
5/1/2004,1,1241,214.2,1981
6/1/2004,1.03,1180,209.6,1828
7/1/2004,1.26,1088,208.6,2002
8/1/2004,1.43,1175,219,2024
9/1/2004,1.61,1214,218.5,1905
10/1/2004,1.76,1305,204.9,2072
11/1/2004,1.93,1179,193.6,1782
