date,fedfunds,unitsStarted (Thousands),lumberPrice
1/1/2000,5.45,1636,189.1
2/1/2000,5.73,1737,189.2
3/1/2000,5.85,1604,188.5
4/1/2000,6.02,1626,186.3
5/1/2000,6.27,1575,180.3
6/1/2000,6.53,1559,179.6
7/1/2000,6.54,1463,176.1
8/1/2000,6.5,1541,173.2
9/1/2000,6.52,1507,171.4
10/1/2000,6.51,1549,171.6
11/1/2000,6.51,1551,170.4
12/1/2000,6.4,1532,169.6
1/1/2001,5.98,1600,166.6
2/1/2001,5.49,1625,168.2
3/1/2001,5.31,1590,169.5
4/1/2001,4.8,1649,170
5/1/2001,4.21,1605,181.1
6/1/2001,3.97,1636,183.2
7/1/2001,3.77,1670,175.4
8/1/2001,3.65,1567,174.5
9/1/2001,3.07,1562,173.1
10/1/2001,2.49,1540,167.3
11/1/2001,2.09,1602,166.1
12/1/2001,1.82,1568,164.1
1/1/2002,1.73,1698,168.3
2/1/2002,1.74,1829,171.3
3/1/2002,1.73,1642,174.8
4/1/2002,1.75,1592,174.7
5/1/2002,1.75,1764,173
6/1/2002,1.75,1717,169.8
7/1/2002,1.73,1655,170.2
8/1/2002,1.74,1633,171.4
9/1/2002,1.75,1804,169.9
10/1/2002,1.75,1648,168.1
11/1/2002,1.34,1753,167.6
12/1/2002,1.24,1788,167.7
1/1/2003,1.24,1853,168.1
2/1/2003,1.26,1629,170.5
3/1/2003,1.25,1726,169
4/1/2003,1.26,1643,169.3
5/1/2003,1.26,1751,169.4
6/1/2003,1.22,1867,171
7/1/2003,1.01,1897,175.3
8/1/2003,1.03,1833,176
9/1/2003,1.01,1939,183.3
10/1/2003,1.01,1967,179.4
11/1/2003,1,2083,180.2
12/1/2003,0.98,2057,180.8
1/1/2004,1,1911,183.7
2/1/2004,1.01,1846,190.7
3/1/2004,1,1998,199.7
4/1/2004,1,2003,206.6
5/1/2004,1,1981,214.2
6/1/2004,1.03,1828,209.6
7/1/2004,1.26,2002,208.6
8/1/2004,1.43,2024,219
9/1/2004,1.61,1905,218.5
10/1/2004,1.76,2072,204.9
11/1/2004,1.93,1782,193.6
12/1/2004,2.16,2042,194.5
1/1/2005,2.28,2144,197.6
2/1/2005,2.5,2207,205.5
3/1/2005,2.63,1864,206.4
4/1/2005,2.79,2061,204.8
5/1/2005,3,2025,196.9
6/1/2005,3.04,2068,202.3
7/1/2005,3.26,2054,198
8/1/2005,3.5,2095,194
9/1/2005,3.62,2151,197.7
10/1/2005,3.78,2065,195.8
11/1/2005,4,2147,191.5
12/1/2005,4.16,1994,193.2
1/1/2006,4.29,2273,199.4
2/1/2006,4.49,2119,200.9
3/1/2006,4.59,1969,200.2
4/1/2006,4.79,1821,198.8
5/1/2006,4.94,1942,200.6
6/1/2006,4.99,1802,192.3
7/1/2006,5.24,1737,187.3
8/1/2006,5.25,1650,182.4
9/1/2006,5.25,1720,182.2
10/1/2006,5.25,1491,174.6
11/1/2006,5.25,1570,171.6
12/1/2006,5.24,1649,172.5
1/1/2007,5.25,1409,176.9
2/1/2007,5.26,1480,176.8
3/1/2007,5.26,1495,177.5
4/1/2007,5.25,1490,177
5/1/2007,5.25,1415,175.6
6/1/2007,5.25,1448,177.2
7/1/2007,5.26,1354,179.2
8/1/2007,5.02,1330,176.8
9/1/2007,4.94,1183,174.2
10/1/2007,4.76,1264,171.2
11/1/2007,4.49,1197,167.2
12/1/2007,4.24,1037,167.3
1/1/2008,3.94,1084,163.7
2/1/2008,2.98,1103,161.9
3/1/2008,2.61,1005,162.1
4/1/2008,2.28,1013,162.8
5/1/2008,1.98,973,169.1
6/1/2008,2,1046,170.4
7/1/2008,2.01,923,166.9
8/1/2008,2,844,167.3
9/1/2008,1.81,820,166.7
10/1/2008,0.97,777,159.4
11/1/2008,0.39,652,156.7
12/1/2008,0.16,560,154.9
1/1/2009,0.15,490,150.4
2/1/2009,0.22,582,148.5
3/1/2009,0.18,505,144.8
4/1/2009,0.15,478,145
5/1/2009,0.18,540,143.7
6/1/2009,0.21,585,144.6
7/1/2009,0.16,594,150.9
8/1/2009,0.16,586,151.4
9/1/2009,0.15,585,152.6
10/1/2009,0.12,534,151.4
